N,x,h1,h2,h3,h4,h5
274, 712.361633, 7.857475, 1.746106, 1.358082, 4.268258, 2.328141
275, 714.961487, 7.663464, 1.552094, 1.358082, 4.753287, 2.522152
276, 717.561340, 7.760469, 1.455088, 0.873053, 5.432329, 3.104188
277, 720.161194, 7.954481, 1.358082, 0.388023, 6.305381, 3.492211
278, 722.761047, 8.730528, 1.358082, 0.000000, 6.596399, 3.686223
279, 725.360901, 9.700586, 1.358082, 0.097006, 6.790411, 3.104188
280, 727.960815, 10.379628, 1.358082, 0.291018, 7.275440, 2.716164
281, 730.560669, 10.185616, 1.843112, 0.679041, 7.954481, 3.104188
282, 733.160522, 10.088610, 2.813170, 1.164070, 9.312563, 4.462270
283, 735.760376, 10.185616, 3.977241, 1.940117, 11.058669, 6.499393
284, 738.360229, 11.058669, 5.238317, 3.104188, 13.677827, 8.148493
285, 740.960083, 11.834716, 6.596399, 4.656281, 16.296986, 9.603580
286, 743.559937, 12.513757, 8.730528, 7.081428, 18.043091, 10.767652
287, 746.159790, 12.513757, 11.543698, 9.797592, 18.916143, 11.737710
288, 748.759644, 11.737710, 15.035910, 12.610763, 18.722132, 12.416751
289, 751.359497, 10.670646, 18.625126, 15.035910, 18.043091, 12.222739
290, 753.959412, 9.991604, 21.535303, 17.073032, 17.170038, 11.252681
291, 756.559265, 9.409569, 23.281408, 18.819138, 15.908962, 10.282621
292, 759.159119, 8.342505, 23.475420, 20.274225, 14.744892, 9.700586
293, 761.758972, 6.790411, 22.505362, 21.050274, 13.192798, 10.379628
294, 764.358826, 5.238317, 20.662249, 21.050274, 12.028728, 11.446692
295, 766.958679, 4.171252, 18.431114, 20.371231, 11.640704, 12.901780
296, 769.558533, 3.201194, 16.005968, 19.207161, 12.416751, 14.065850
297, 772.158386, 2.231135, 13.483815, 17.364050, 13.580821, 15.326927
298, 774.758240, 1.552094, 11.349687, 15.520939, 14.356868, 16.685009
299, 777.358154, 1.358082, 9.312563, 13.774833, 14.550880, 18.237103
300, 779.958008, 1.358082, 7.566458, 12.125733, 14.550880, 19.304167
301, 782.557861, 1.843112, 6.208375, 10.476634, 14.744892, 19.304167
302, 785.157715, 3.104188, 5.141311, 8.439510, 15.229921, 18.237103
303, 787.757568, 5.044305, 4.656281, 6.499393, 15.229921, 16.782015
